id_propiedad;operacion;tipo;titulo;precio;estado;estado_interno;direccion;habitaciones;banos;parqueos;area_m2;url;publicado_en;fecha_extraccion;fuente_url
5f9fabf1-c02e-4c77-a990-ff4b3f4351ff;venta;propiedad;Apartamento en Torre Avitat Duo;258000;published;created;Colonia Escalón;3;2;2;92;https://www.propilatam.com/sv/venta/apartamento/propiedad/san-salvador/apartamento-en-colonia-escalon-departamento-de-san-salvador/4363;1784959380979;2026-08-26T15:56:45.880704+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
3a97c47a-93a2-4412-8934-5b7b2723be6c;venta;propiedad;Apartamento en Torre Avitat Duo;267000;published;created;Colonia Escalón;3;2;2;92;https://www.propilatam.com/sv/venta/apartamento/propiedad/san-salvador/apartamento-en-colonia-escalon-departamento-de-san-salvador/4364;1784959906631;2026-08-26T15:56:45.880748+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
c97691cb-468e-4a37-8b0f-916d206a1c53;venta;propiedad;Apartamento en Puerta del Alma III;459000;published;rented_external;Antiguo Cuscatlán;3;3;2;154;https://www.propilatam.com/sv/venta/apartamento/propiedad/antiguo-cuscatlan/apartamento-en-puerta-del-alma-iii-departamento-de-la-libertad/4096;1778099163696;2026-08-26T15:56:45.880760+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
e56cb9b1-8f96-45df-9da8-47f526dbca8a;venta;propiedad;Apartamento en Life Santa Elena;290000;published;created;Nuevo Cuscatlán;3;2;2;115;https://www.propilatam.com/sv/venta/apartamento/propiedad/nuevo-cuscatlan/apartamento-en-life-santa-elena-departamento-de-la-libertad/4234;1779821930625;2026-08-26T15:56:45.880769+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
10701597-178b-41c2-a14e-b7d396010dd5;venta;propiedad;Apartamento en San Benito;459000;published;published;San Salvador;3;3;3;236;https://www.propilatam.com/sv/venta/apartamento/propiedad/san-salvador/apartamento-en-san-benito-departamento-de-san-salvador/4276;1783115437705;2026-08-26T15:56:45.880777+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
d31879ae-f325-4e36-9fc7-969f44518675;venta;propiedad;Apartamento en Torres Artea;285000;published;created;Nuevo Cuscatlán;3;2;2;96;https://www.propilatam.com/sv/venta/apartamento/propiedad/nuevo-cuscatlan/apartamento-en-torres-artea-departamento-de-la-libertad/3928;1768947196026;2026-08-26T15:56:45.880785+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
c59a5e6f-fee3-407a-b096-7ddf9fa337cc;venta;propiedad;Casa en Colonia Escalon Norte;259000;published;created;San Salvador;3;3;2;180;https://www.propilatam.com/sv/venta/casa/propiedad/san-salvador/casa-en-colonia-escalon-norte-departamento-de-san-salvador/4284;1781977760874;2026-08-26T15:56:45.880792+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
a81bdb84-c760-4fdc-a8d2-0c438e5098c9;venta;propiedad;Casa en Barrio San Jacinto;196000;published;created;San Salvador;3;2;2;170;https://www.propilatam.com/sv/venta/casa/propiedad/san-salvador/casa-en-barrio-san-jacinto-departamento-de-san-salvador/4286;1782150225723;2026-08-26T15:56:45.880799+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
95e6786e-74b3-45b6-9df9-dafea2d2349b;venta;propiedad;Apartamento en Avitat Lift;199000;published;created;Colonia Escalón;1;1;1;55;https://www.propilatam.com/sv/venta/apartamento/propiedad/san-salvador/apartamento-en-colonia-escalon-departamento-de-san-salvador/4336;1784137628118;2026-08-26T15:56:45.880806+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
1e4fa3aa-046f-4f8f-8676-cbb3a0271063;venta;propiedad;Casa en Av. Bernal;248000;published;created;San Salvador;3;2;2;198;https://www.propilatam.com/sv/venta/casa/propiedad/san-salvador/casa-en-av--bernal-departamento-de-san-salvador/4355;1784657235158;2026-08-26T15:56:45.880812+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
9fe399a8-601c-483d-847d-95c7c814a502;venta;propiedad;Apartamento en Condominio Penthouse;250000;published;rented_external;Colonia Escalón;2;2;2;156;https://www.propilatam.com/sv/venta/apartamento/propiedad/san-salvador/apartamento-en-colonia-escalon-departamento-de-san-salvador/2996;1769792727544;2026-08-26T15:56:45.880822+00:00;https://www.propilatam.com/sv/bienes-raices/comprar
